RecipeName,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13
Pastaschotel uit de oven met tonijn,1 stuk Courgette,1 stuk Aubergine,400 gram Soepgroenten,2 tenen Knoflook,800 gram Gepelde tomaten,3 takjes Tijm,400 gram Macaroni,100 gram Geraspte mozzarella,100 gram Jong belegen kaas,320 gram Tonijn in water,2 eetlepel Kappertjes,1 bosje Peterselie,
"Maaltijdsalade met mango, kip en frambozendressing",60 gram Pijnboompitten,4 stuks Kipdijfilet,400 gram Tuinbonen (diepvries),250 gram Frambozen,150 ml Karnemelk,2 eetlepel Appelazijn ,4 eetlepel Olijfolie mild,1 theelepel Mosterd,1 theelepel Honing,1 stuk Mango,2 stuks Avocado,300 gram Spinazie,
Vegetarische enchilada's met quinoa-groentevulling,150 gram Quinoa,1 stuk Verspakket mexicaanse wraps,200 gram Belegen kaas,4 stuks Kleine tortilla's,700 ml Tomato frito,150 ml Volle yoghurt,2 eetlepel Bieslook,2 stuks Avocado,1 stuk Rode ui,1 stuk Limoen,,,
