Name,Price
Biologisch PLUS Groene spliterwten biologisch,1.99
Neutraal Selderij zakje,1.09
Neutraal Basilicum zakje,1.19
PLUS Wokgroenten Thaise stijl,2.49
PLUS Verspakket lasagne,5.89
Neutraal Krulpeterselie zakje,1.19
PLUS Eikenbladslamelange,1.59
PLUS Roerbakgroenten Hollandse stijl,2.39
PLUS Ijsbergslamelange,1.39
Neutraal Tijm zakje,1.19
PLUS Spinazie,1.69
PLUS Zuurkool,1.49
Neutraal Peper rood,0.89
PLUS Sjalotten,1.39
PLUS Kropslamelange,1.89
PLUS Spitskool,1.69
Biologisch PLUS Biologische aardappelen,1.65
PLUS Aardappelpuree,1.89
Biologisch PLUS Bieslook,1.99
PLUS Snoeppaprika pitloos,2.29
PLUS Verse watermeloen blokjes,3.75
PLUS Kookaardappelen kruimig,1.15
CelaVita Patatas Bravas,3.25
PLUS Macaroni-spaghetti groenten kvp,1.49
PLUS Verse ananas cilinder,3.99
Biologisch PLUS Munt,1.99
PLUS Paprika geel,1.29
PLUS Minikrieltjes 1-persoons,0.85
PLUS Verspakket mosterdsoep,4.89
PLUS Verse mango blokjes,3.29
PLUS Verspakket Bami Ketjap,5.89
PLUS Spruiten geschoond kvp,1.99
PLUS Bloemkoolroosjes,2.69
PLUS Rauwkost Wortel Julienne,1.29
Neutraal Rozemarijn zakje,1.19
PLUS Blauwe bessen voordeelverpakking,7.99
PLUS Pompoenblokjes,3.29
PLUS IJsbergsla fijn,1.59
PLUS Ovengroenten courgette paprika ui,3.99
PLUS Paksoi,1.55
PLUS Kastanjechampignons gesneden,1.79
PLUS Verse granaatappelpitjes,3.75
PLUS Paprika zoetpunt mix,3.19
PLUS Vrij vastkokende aardappel,2.99
Neutraal Pruimen,2.99
PLUS Verspakket groentesoep,4.89
Neutraal Dille zakje,1.19
PLUS Andijvie (krop),1.49
PLUS Erwtensoepgroenten,2.29
PLUS Luxe roerbakgroenten Provencaalse st.,2.99
PLUS Mini trospruim tomaat,2.39
Aviko Aardappelschijfjes,2.99
PLUS Nasi-Bami groenten kvp,1.49
Biologisch PLUS Kruimige aardappelen biologisch,3.29
PLUS Pureersoep tomaat oregano,4.29
PLUS Venkel,1.19
PLUS Verspakket ovenschotel bloemkool,5.89
Biologisch PLUS Zoete puntpaprika biologisch,2.35
PLUS Radijs geschoond,1.19
PLUS Verse Vlaamse frites met schil,1.99
Aviko Aardappelblokjes,2.69
PLUS Sla trio,1.35
PLUS Opbakkertjes,1.39
PLUS Aardappelpartjes in schil,1.09
PLUS Wokgroenten Japanse stijl,2.89
PLUS Aardappelpartjes gekruid,1.05
PLUS Pureersoep pompoen wortel,4.29
PLUS Cocktailtrostomaten,3.35
PLUS Avocado (ongerijpt),2.99
CelaVita Halve krieltjes met schil,1.59
Biologisch PLUS Pastinaak biologisch,2.45
PLUS Luxe sla jonge bladsla veldsla,1.89
PLUS Gesneden verspakket flammkuchen,6.89
PLUS Verspakket pompoensoep,4.89
PLUS Salade Caesar,4.29
PLUS Grapefruits rood,2.59
PLUS Verspakket kip kerrie,5.89
PLUS Papaya,3.79
Bieze Rauwkost farmer,1.99
Biologisch PLUS Paprika rood,1.49
Biologisch PLUS Courgette groen,1.89
Biologisch PLUS Citroenen,1.39
Biologisch PLUS Knoflook biologisch,1.89
PLUS Verspakket kip rendang,5.89
PLUS Aardappelgratin pesto,2.75
PLUS Spinazie gewassen GVP,2.89
PLUS Roerbakgroenten Italiaanse stijl KVP,1.89
PLUS Ijsbergslamelange kvp,1.09
"PLUS Ovengroenten prei, peen, kastanjechamp",3.99
Iglo Spinazie fijn gehakt,2.29
PLUS Pruimen,2.49
PLUS Rode bessen,3.69
Biologisch PLUS Little gem biologisch,2.19
PLUS Verspakket Prei-kerrie soep,4.89
Neutraal Koriander zakje,1.19
Neutraal Dadels,2.49
Biologisch PLUS Krieltjes biologisch,2.49
Bieze Rauwkost 4 seizoenen,1.99
PLUS Luxe wokgroenten sugarsnaps,3.29
PLUS Verspakket tagliatelle pomodoro,5.89
PLUS Stoomkrieltjes,1.99
PLUS Bramen,3.95
PLUS Flespompoen,2.99
BIO+ Zuurkool naturel,1.09
PLUS Gesneden verspakket risotto champignon,6.89
PLUS Wokgroenten Chinese stijl gvp,2.99
PLUS Fruitpunch,4.99
Neutraal Ananas,2.39
PLUS Verspakket Mexicaanse wraps,5.89
PLUS Peultjes,2.99
PLUS Salade Italiaanse stijl,3.85
PLUS Roerbakgroenten Italiaanse champignons,1.89
PLUS Chinese kool,1.75
Neutraal Cranberries,2.15
PLUS Rauwkost Radijs,2.39
PLUS Verspakket Kip tandoori Indiase stijl,5.89
"PLUS Ovengroenten pompoen, rode ui",3.99
PLUS Pompoen Hokkaido,2.19
BIO+ Kruidenzuurkool,1.09
PLUS Verspakket curry madras,5.89
PLUS Worteltjes,1.09
PLUS Aspergetips groen,4.49
PLUS Verspakket Teriyaki Japanse stijl,5.89
PLUS Luxe wokgroenten Japanse stijl,2.99
Biologisch PLUS Cherrytomaten biologisch,2.79
Neutraal Munt zakje,1.19
PLUS Salade Boerenmix,4.19
PLUS Aardappelgratin truffel,3.29
Biologisch PLUS Blauwe bessen,4.69
Biologisch PLUS trostomaten biologisch,2.99
Toffe Peertjes Stoofpeerparten,2.85
BIO+ Wijnzuurkool,1.39
PLUS Gesneden verspakket Pita Gyros,6.89
PLUS Zoete aardappelfriet,1.99
PLUS Snoepgoed radijsmix,2.19
Biologisch PLUS Paddenstoelen Kastanjechampignons,2.19
PLUS Paddenstoelen mixpakket ,2.99
PLUS Koolraap gesneden,1.99
PLUS Halve kriel met schil & Rozemarijn,1.89
Biologisch PLUS Rode kool biologisch,2.29
Biologisch PLUS Pijnboompitten biologisch,4.09
PLUS Verspakket ovenschotel Prei Kerrie,5.89
PLUS Vers gesneden fruit meloenmix,4.99
Aviko Aardappelbolletjes,2.49
PLUS Watermeloen eetrijp,4.39
PLUS Ijsbergslamelange gvp,2.49
PLUS Verspakket Kip Hawaïaanse stijl,5.89
PLUS Verspakket Kapsalon met kip,5.89
PLUS Salade Tomaat Komkommer,3.85
PLUS BBQ minikriel gvp,1.49
Biologisch PLUS Rucola biologisch,1.29
PLUS Salade Hollandse stijl,4.29
PLUS Zoete aardappel,2.99
PLUS Salade Waldorf,2.99
PLUS Koolrabi,1.29
PLUS Kookaardappelen vastkokend,1.09
Neutraal Pijnboompitten,6.59
PLUS Rauwkost Komkommer,2.39
PLUS Broccoliroosjes,2.35
Bieze Rauwkost komkommer,1.99
PLUS Pureersoep broccoli spinazie,4.29
PLUS Bloemkool-broccoli,2.99
PLUS Verspakket goulashsoep,4.89
PLUS Verse ananas/mango sticks,3.29
PLUS Verspakket Kip Siam,5.89
Biologisch PLUS Witlof,2.99
Biologisch PLUS Witte kool biologisch,2.19
PLUS Stamppotaardappelen,2.99
Biologisch PLUS Oesterzwammen biologisch,2.29
PLUS Bourgondische minikrieltjes,1.09
Biologisch PLUS Bloemkool,2.75
Biologisch PLUS Broccoli biologisch,2.45
PLUS Gesneden verspakket Gado Gado,6.89
PLUS Wokgroenten Chinese stijl kvp,1.99
PLUS Verspakket Moussaka,5.89
PLUS Pureersoep zoete aardappel paprika,4.29
PLUS Salade witlof,3.69
Neutraal Abrikozen,3.69
PLUS Bloemkool broccoli,2.99
Biologisch PLUS Tuinkers,1.35
Biologisch PLUS Sinaasappels biologisch,2.59
PLUS Spitskool kvp,1.19
PLUS Verspakket ovenschotel Rode Kool,5.89
Neutraal Tutti frutti,2.99
PLUS Rode uien snippers,1.99
Iglo Spinazie Boursin,3.49
PLUS Verspakket chili con carne,5.89
Zespri Kiwi groen biologisch,2.99
Aviko Aardappelpuree Naturel,2.99
PLUS Zoete uien,1.69
Biologisch PLUS Gember biologisch,1.89
Biologisch PLUS Suikermais,2.99
PLUS Minikrieltjes kruidenbotersmaak,1.19
Biologisch PLUS Mandarijnen,2.99
Biologisch PLUS Koriander,1.99
PLUS Gesneden verspakket zoete aard stamp,6.89
PLUS Sugarsnaps,2.99
PLUS Kookaardappelen vastkokend gvp,1.59
Neutraal Dadels Medjoul,3.49
Bieze Rauwkost coleslaw,1.99
Neutraal Koriander,1.39
PLUS Aardappelblokjes Italiaanse stijl,1.19
PLUS Gesneden zoete aardappel Kapsalon,6.89
Frites uit Zuyd Dag verse friet,1.99
PLUS Gesneden verspakket Plaatpizza Italia,6.89
Zespri Kiwi gold biologisch,4.99
Aviko Aardappelpartjes,2.49
Biologisch PLUS Spinazie biologisch,2.79
PLUS Wokgroenten Thaise stijl KVP,1.99
Biologisch PLUS Kokosnoot,1.49
Biologisch PLUS Shiitake biologisch,1.99
PLUS Gesneden verspakket beef teriyaki,6.89
Biologisch PLUS Rode linzen biologisch,1.99
Biologisch PLUS Bleekselderij,2.29
Biologisch PLUS Zoete aardappel biologisch,1.99
PLUS Salademix,1.69
PLUS Verspakket Indiase wortelsoep,4.89
PLUS Alfalfa,1.09
Biologisch PLUS Popcorn mais biologisch,2.25
PLUS Verspakket eenpansgerecht orzo,5.89
Biologisch PLUS Spitskool,1.99
Neutraal Citroengras,1.39
PLUS Verspakket couscous,5.89
PLUS Salade Grieks,3.89
Biologisch PLUS Avocado biologisch,2.99
PLUS Frietaardappelen,2.59
Biologisch PLUS Boerenkool biologisch,1.89
PLUS Gesneden verspakket Pizza calzone,6.89
PLUS Maiskolven,2.99
Biologisch PLUS Sjalotten biologisch,1.29
Bieze Rauwkost witte kool,1.99
PLUS Verspakket Stamppot pompoen,5.89
Neutraal Italiaanse mix zakje,1.79
PLUS Salade Ei van Columbus,2.99
PLUS Nederlandse knapperige slamelange,1.99
Neutraal Salie zakje,1.19
PLUS Verspakket rode linzensoep,4.89
Neutraal Peper spicy mix,1.85
PLUS Luxe Groentemixen Rode Curry,2.99
Biologisch PLUS prei biologisch,3.29
Iglo Bladspinazie a la Crème,2.69
PLUS Luxe Groentemixen Groene Curry,2.99
PLUS rode bieten,1.99
PLUS Kriel vastkokend,1.19
PLUS Salademix kvp,0.93
PLUS Gesneden verspakket Gnocchi Bolognese,6.89
PLUS Salade blauwe kaas peer,4.25
Neutraal Vijgen,3.99
PLUS Nederlandse aardbeien,3.99
PLUS Minikrieltjes Indiase stijl,1.19
PLUS Zoete aardappelschijfjes,2.59
Biologisch PLUS Geraspte biet,2.49
PLUS Salade van het huis,2.99
Biologisch PLUS Groene linzen biologisch,1.99
Biologisch PLUS rode uien biologisch,1.39
Healthy Dadels,4.49
PLUS Indiase Tikka masala,5.89
PLUS Rauwkost wortel Julienne,1.99
Neutraal Peper Rawitt mix,1.79
PLUS Banaansjalotten,2.49
PLUS Pasta paddestoelenmix,2.99
PLUS Verspakket Orzo met gegrilde groenten,5.89
