RecipeName,RecipePrice,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11,Ingredient12,Ingredient13
"Salade met gebakken champignons, tomaat & ei","Voor 23:55 besteld, morgen in huis*",250 g witte champignons,"1 rode ui, in ringen",2 el balsamicoazijn,1 witte baguette,"(afbakbrood, pak 300 g)",5 el extra vierge olijfolie (fles 1 liter),2 avocado’s,250 g cherrytomaten,4 witte vrije uitloopeieren (doos 10 stuks),1 tl Italiaanse kruiden,200 g spinazie (zak 300g),1 zak rucola (85 g),"100 g geraspte pittige kaas 48+ (zak 200 g, Zuivelmeester)"
Broccolisalade met avocado en makreel,"Voor 23:55 besteld, morgen in huis*",1 stuk Broccoli,1 stuk Gerookte makreel,1 stuk Rode ui,310 gram Linzen in blik,1 stuk Avocado,1 stuk Citroen,1 bosje Dille,200 gram Verse spinazie,,,,,
Shoarmasalade met frisse yoghurtdressing en pitapuntjes,"Voor 23:55 besteld, morgen in huis*",3 stuks Trostomaten,1 stuk Komkommer,1 stuk Rode ui,1 bosje Peterselie,1 stuk Citroen,150 gram Griekse yoghurt 10% vet,2 tenen Knoflook,500 gram Shoarmavlees,4 stuks Volkoren pitabrood,1 stuk IJsbergsla,2 eetlepel Sriracha,,
"Maaltijdsalade met mango, kip en frambozendressing","Voor 23:55 besteld, morgen in huis*",60 gram Pijnboompitten,4 stuks Kipdijfilet,400 gram Tuinbonen (diepvries),250 gram Frambozen,150 ml Karnemelk,2 eetlepel Appelazijn ,4 eetlepel Olijfolie mild,1 theelepel Mosterd,1 theelepel Honing,1 stuk Mango,2 stuks Avocado,300 gram Spinazie,
Caesarsalade met krokante kip,"Voor 23:55 besteld, morgen in huis*",400 gram Bloemkool,1 stuk Sjalot,1 stuk Courgette,2 stuks Little gem,8 eetlepel Caesardressing,2 theelepel Citroensap,1 bosje Peterselie,600 gram Kipfilethaasjes gepaneerd,50 gram Parmezaanse kaas flakes,1 stuk Meergranen stokbrood,,,
Maaltijdsalade met gegrilde perziken en gedroogde ham,"Voor 23:55 besteld, morgen in huis*",450 gram Aardappelpartjes in schil,4 stuks Perziken ,2 stuks Avocado,350 gram Snoeptomaaten,1 stuk Citroen,100 gram Luxe jonge bladslamelange,1 Plant Basilicum,250 gram Buffelmozzarella,150 gram Parmaham,,,,
Kipkluifjes met aioli-trio,"Voor 23:55 besteld, morgen in huis*",1 schaal PLUS Kipdrummets gekruid (500 g),1 bakje aioli-trio (210 g),"1 takje peterselie, fijngehakt",,,,,,,,,,
Gehaktballetjes met chorizo en aioli,"Voor 23:55 besteld, morgen in huis*",Omwikkel elk gehaktballetje met een plakje chorizo en zet vast met een tapasprikker.,Gril de balletjes op de hete barbecue in 3 min. goudbruin. Leg de balletjes op een tapasschaaltje en bestrooi met de peterselie. Serveer met de aioli.,,,,,,,,,,,
"Bruschette met ricotta, tomaat en rucola","Voor 23:55 besteld, morgen in huis*",8 sneetjes ciabatta,"1 teen knoflook, gehalveerd",100 g ricotta,"7 cherrytomaten, in kwarten",2 el olijfolie extra vierge,2 el rucola,Keukenmateriaal: broodrooster,,,,,,
Kip-spinaziewrap met roomkaas,"Voor 23:55 besteld, morgen in huis*",2 tortillawraps,100 g verse roomkaas met kruiden,½ zak babyspinazie (à 50 g),8 plakjes kipfilet,Keukenmateriaal: huishoudfolie,,,,,,,,
